Ciclo,CE_media,CE_desvio,CE_min,CE_max,CE_mediana,CP_media,CP_desvio,CP_min,CP_max,CP_mediana,EPS1_media,EPS1_desvio,EPS1_min,EPS1_max,EPS1_mediana,FS1_media,FS1_desvio,FS1_min,FS1_max,FS1_mediana,FS2_media,FS2_desvio,FS2_min,FS2_max,FS2_mediana,PS1_media,PS1_desvio,PS1_min,PS1_max,PS1_mediana,PS2_media,PS2_desvio,PS2_min,PS2_max,PS2_mediana,PS3_media,PS3_desvio,PS3_min,PS3_max,PS3_mediana,PS4_media,PS4_desvio,PS4_min,PS4_max,PS4_mediana,PS5_media,PS5_desvio,PS5_min,PS5_max,PS5_mediana,PS6_media,PS6_desvio,PS6_min,PS6_max,PS6_mediana,SE_media,SE_desvio,SE_min,SE_max,SE_mediana,TS1_media,TS1_desvio,TS1_min,TS1_max,TS1_mediana,TS2_media,TS2_desvio,TS2_min,TS2_max,TS2_mediana,TS3_media,TS3_desvio,TS3_min,TS3_max,TS3_mediana,TS4_media,TS4_desvio,TS4_min,TS4_max,TS4_mediana,VS1_media,VS1_desvio,VS1_min,VS1_max,VS1_mediana,Cooler_condition,Valve_condition,Pump_leakage,Accumulator_pressure,Stable_flag
249,19.866233333333334,0.16051436037627945,19.401,20.08,19.917,1.5285666666666666,0.014475422380964961,1.489,1.562,1.5305,2419.9977,206.0337965211747,2206.0,2857.4,2345.8,6.322315000000001,2.885577921146243,0.0,20.479,7.358499999999999,9.181346666666666,0.017830302531631176,9.136,9.247,9.181,156.69969666666668,15.469216165752774,139.18,189.91,151.19,105.79618866666667,45.76305860747574,0.0,165.15,124.92,1.6729408333333333,0.8905068879120895,0.0,11.187,1.898,0.09240716666666667,0.395703548882753,0.0,4.422,0.0,8.515758333333334,0.020919652702674527,8.469,8.572,8.515,8.4593045,0.02123179796023281,8.406,8.521,8.459,56.09153333333334,23.556059988574294,0.0,77.944,65.62,54.37931666666667,0.282691392593285,53.66,54.656,54.492,58.6443,0.2635850166776401,58.145,58.93,58.742000000000004,55.91278333333333,0.0448080999285734,55.836,56.012,55.914,49.72891666666667,0.038999909459545054,49.645,49.832,49.738,0.7487333333333334,0.0947113127792112,0.609,0.878,0.7355,3,100,2,130,0
250,19.757566666666666,0.29683136607677585,19.144,20.177,19.784,1.5248166666666667,0.02579678843936402,1.473,1.567,1.5270000000000001,2415.9507000000003,198.05111795627437,2214.0,2857.8,2349.8,6.261666666666667,2.8293263641746798,0.0,20.479,7.336,9.190898333333333,0.01971774106594029,9.132,9.248,9.19,156.35141666666667,15.02530455673214,140.15,189.92,151.35,105.88611583333332,45.57120307210816,0.0,165.64,125.3,1.6746866666666669,0.8414025793512772,0.0,10.695,1.898,3.516666666666667e-05,0.0017827300206733469,0.0,0.123,0.0,8.516812333333334,0.02111869111493213,8.467,8.581,8.516,8.459879166666667,0.021155483726940406,8.408,8.521,8.459,56.58341666666667,22.587096277458404,0.0,75.57,65.19,54.39256666666667,0.24728254385859502,53.832,54.664,54.49,58.79965,0.15572311640553338,58.52,58.973,58.858999999999995,55.966,0.08941163614410678,55.855,56.129,55.994,49.80605,0.06677344062485611,49.68,49.926,49.826,0.6626833333333334,0.04205343318847894,0.605,0.772,0.66,3,100,2,130,0
251,20.0078,0.22096290048293257,19.627,20.501,20.025,1.5437833333333333,0.021375648799087193,1.511,1.588,1.545,2416.5706999999998,198.76980069195852,2216.0,2861.4,2349.8,6.252948333333333,2.8265057379755256,0.0,20.479,7.336,9.188773333333334,0.01941253976314443,9.141,9.247,9.187999999999999,156.3312,15.054338681773066,139.57,189.96,151.28,105.82909616666667,45.600952751171235,0.0,164.57,125.32,1.6716510000000002,0.8397257916128632,0.0,10.516,1.8944999999999999,0.0,0.0,0.0,0.0,0.0,8.515580166666666,0.021079357118319597,8.463,8.576,8.515,8.459466,0.02116458915198478,8.406,8.514,8.459,56.47515,22.551799170455926,0.0,75.128,65.316,54.41535,0.22720742594990326,53.898,54.664,54.496,58.86881666666667,0.15406849584658922,58.543,59.055,58.875,55.94218333333333,0.07251475400235663,55.844,56.086,55.922,49.711933333333334,0.03062062375050636,49.652,49.754,49.711,0.6575000000000001,0.03581141755248804,0.611,0.743,0.648,3,100,2,130,0
252,20.097733333333334,0.19126384887637826,19.609,20.555,20.102,1.5501666666666667,0.017477507740984086,1.511,1.585,1.5505,2403.7806,199.6125412010484,2202.0,2857.6,2338.0,6.348326666666667,2.867928724457743,0.0,20.479,7.4535,9.189443333333333,0.018892105272438543,9.137,9.257,9.187,156.44581333333335,15.040377818813196,140.13,190.07,151.515,105.88788016666666,45.62741313908157,0.0,164.84,125.69,1.6941101666666667,0.8500564899087462,0.0,10.977,1.937,0.0,0.0,0.0,0.0,0.0,8.5129505,0.020853693417989472,8.459,8.568,8.512,8.457312666666667,0.021086694406717937,8.403,8.521,8.457,57.64861666666666,23.03054606761635,0.0,76.585,66.668,54.40338333333333,0.21316740391156577,53.91,54.652,54.471000000000004,58.8978,0.14131090857168502,58.613,59.094,58.9005,55.965316666666666,0.06502215832657432,55.844,56.078,55.992,49.70133333333333,0.03769263141884277,49.602,49.762,49.703,0.6617166666666667,0.04031448058245038,0.602,0.749,0.6615,3,100,1,130,1
253,20.003899999999998,0.26642585383783696,19.56,20.563,19.97,1.5416999999999998,0.02285273413898476,1.5,1.584,1.5405,2403.5907666666667,201.94862395140518,2196.8,2849.6,2335.4,6.30914,2.912763956595992,0.0,20.479,7.452,9.185513333333333,0.018010008965213316,9.131,9.241,9.186,156.53164666666666,15.274640203969183,140.2,190.19,151.34,105.14576749999999,46.13220175877467,0.0,163.19,125.63,1.685684,0.8519022352244379,0.0,10.672,1.945,0.0,0.0,0.0,0.0,0.0,8.510902166666666,0.020649479302671917,8.458,8.561,8.51,8.454633000000001,0.020883877363226847,8.399,8.508,8.454,56.65808333333333,23.54255488582877,0.0,76.699,66.624,54.39925,0.21792353074929433,53.84,54.656,54.460499999999996,58.90625,0.14001714483397562,58.613,59.105,58.918,55.98316666666666,0.059816716292540664,55.91,56.09,55.992,49.75038333333334,0.062263271450764074,49.578,49.844,49.75,0.6581499999999999,0.03738069156255556,0.608,0.746,0.6545000000000001,3,73,1,130,0
254,20.041666666666668,0.15824146606348466,19.773,20.368,20.017000000000003,1.54325,0.013296647978254816,1.523,1.573,1.542,2407.078066666667,200.87075430630858,2201.8,2848.6,2337.8,6.323076666666666,2.9009199296405734,0.0,20.479,7.454,9.191216666666666,0.01926252311831716,9.141,9.249,9.189,156.77873666666667,15.224874776911916,141.01,190.04,151.57,105.41461916666667,46.2421694303269,0.0,161.89,125.88,1.6816738333333332,0.8516543251990489,0.0,10.695,1.937,0.0,0.0,0.0,0.0,0.0,8.516283333333332,0.02099822714292913,8.464,8.573,8.516,8.460181666666665,0.021220722193112433,8.408,8.512,8.46,56.91126666666666,23.32326403507274,0.0,77.632,66.667,54.42541666666667,0.23730387382230872,53.84,54.656,54.494,58.92308333333334,0.16142126082498182,58.547,59.129,58.927499999999995,55.91421666666667,0.04311124422388172,55.844,56.008,55.914,49.689,0.04357615581866009,49.602,49.762,49.6855,0.6618833333333334,0.03877492273065618,0.606,0.746,0.6625000000000001,3,73,1,130,0
255,20.036766666666665,0.3268886902589474,19.416,20.638,20.069499999999998,1.5433999999999999,0.028211189029189798,1.495,1.594,1.545,2404.9846666666667,202.20872618752398,2198.0,2849.6,2335.8,6.32191,2.8982927008037946,0.0,20.479,7.458,9.187251666666667,0.02035367577166266,9.137,9.246,9.186,156.62522333333334,15.270973233143042,140.71,190.13,151.41,105.24694266666665,46.14313268972738,0.0,164.61,125.74,1.6743695,0.8505222901237885,0.0,10.672,1.937,0.0,0.0,0.0,0.0,0.0,8.5140005,0.021380092402556797,8.458,8.566,8.514,8.457987833333334,0.021620968133176984,8.403,8.511,8.458,56.856433333333335,23.41336335019729,0.0,77.084,66.7535,54.43626666666667,0.2103108971173994,53.922,54.656,54.492,58.93991666666667,0.13989575921494254,58.641,59.133,58.965,55.961816666666664,0.09345596110824972,55.836,56.156,55.928,49.732150000000004,0.06831850259344487,49.562,49.844,49.727,0.6637666666666667,0.04223997892055628,0.6,0.767,0.6575,3,73,1,130,0
256,20.122850000000003,0.27226226295707945,19.431,20.599,20.109,1.5477999999999998,0.023864589752765432,1.495,1.592,1.5465,2405.3040666666666,201.9597319079917,2199.6,2853.4,2335.8,6.323081666666667,2.8985475197998922,0.0,20.479,7.459,9.18907,0.01881502347897213,9.137,9.249,9.187,156.60881,15.255015284569799,140.56,190.15,151.4,105.25344700000001,46.15256185717318,0.0,166.16,125.71,1.6839119999999999,0.8517591918354322,0.0,10.484,1.937,0.0,0.0,0.0,0.0,0.0,8.514776000000001,0.02081535580221539,8.46,8.566,8.514,8.458496166666666,0.02111399896113783,8.401,8.509,8.458,56.81205,23.345966908563945,0.0,76.677,66.74000000000001,54.42731666666667,0.21887628977572698,53.914,54.656,54.498000000000005,58.928916666666666,0.14996748706016294,58.617,59.117,58.961,55.972,0.07913665503097565,55.828,56.133,55.994,49.71175,0.03825411244093823,49.645,49.832,49.709,0.6574500000000001,0.037705111374040666,0.61,0.75,0.6565000000000001,3,73,1,130,0
257,20.0749,0.18577375523898282,19.773,20.567,20.0305,1.5434333333333332,0.01826394676438881,1.515,1.59,1.538,2405.6615,202.03148209551603,2199.8,2853.4,2336.0,6.32406,2.900606502072703,0.0,20.479,7.463,9.182794999999999,0.018476162732438576,9.13,9.239,9.182,156.617735,15.271660008645945,140.48,190.17,151.35,105.23343033333335,46.15624635983189,0.0,162.38,125.68,1.6891908333333334,0.8521315484000128,0.0,10.664,1.945,0.0,0.0,0.0,0.0,0.0,8.515900333333335,0.021019579055556174,8.46,8.569,8.516,8.459166666666667,0.02125086246284609,8.405,8.514,8.458,56.850683333333336,23.394614282062808,0.0,76.874,66.74000000000001,54.436749999999996,0.21829397260248978,53.914,54.656,54.5215,58.94363333333333,0.15028920895288522,58.629,59.141,58.969,55.94178333333333,0.07282323424792005,55.855,56.102,55.914,49.69943333333333,0.037833877145846746,49.594,49.754,49.687,0.6561666666666667,0.04040941603085607,0.601,0.752,0.6505000000000001,3,73,1,130,0
258,20.02005,0.23081303792155183,19.375,20.501,20.0225,1.54465,0.01992768706760536,1.487,1.589,1.5434999999999999,2406.0709333333334,200.9487695154909,2200.0,2853.4,2337.8,6.317818333333333,2.908709244856855,0.0,20.479,7.464,9.18647,0.018738934854088382,9.129,9.237,9.186,156.54106166666668,15.287153033321085,140.11,190.15,151.28,105.17587449999999,46.10936457584319,0.0,165.46,125.61,1.6776133333333334,0.8558629193461273,0.0,10.812,1.937,0.0,0.0,0.0,0.0,0.0,8.519090166666667,0.02078302253386482,8.462,8.569,8.519,8.463370666666666,0.02105882677769786,8.413,8.526,8.462,56.6454,23.51089717643029,0.0,76.671,66.643,54.4292,0.22014854769189088,53.914,54.652,54.492,58.94663333333334,0.14426857800252377,58.645,59.129,58.961,55.94531666666667,0.055672009114724745,55.863,56.102,55.922,49.70681666666667,0.05687556791794709,49.566,49.844,49.707,0.6615333333333333,0.04230978036015188,0.601,0.772,0.656,3,73,1,130,0
259,20.081416666666666,0.22966381411559958,19.551,20.494,20.057000000000002,1.5466499999999999,0.020197184734176178,1.511,1.588,1.545,2407.6992666666665,202.3558944635238,2201.8,2855.4,2337.8,6.323316666666667,2.902737961392614,0.0,20.479,7.462,9.190746666666668,0.018443411323768432,9.145,9.248,9.189,156.53759,15.298971355813142,140.4,190.15,151.27,105.166708,46.12939418871061,0.0,161.64,125.59,1.6863371666666664,0.8529298511838366,0.0,10.719,1.945,0.0,0.0,0.0,0.0,0.0,8.519708333333334,0.02093155398469704,8.468,8.581,8.52,8.4635415,0.021428955747790086,8.415,8.536,8.462,56.717333333333336,23.4174270878,0.0,76.211,66.658,54.43025,0.214407945163314,53.926,54.684,54.496,58.93795,0.1423931564961888,58.652,59.133,58.961,55.935399999999994,0.07946115136512305,55.82,56.098,55.922,49.68855,0.03859982655620984,49.59,49.766,49.684,0.6579666666666667,0.04146019805305887,0.592,0.76,0.6605000000000001,3,73,1,130,0
260,20.051433333333332,0.21281760844271727,19.615,20.437,20.026,1.5403166666666666,0.018082196194296813,1.507,1.57,1.5394999999999999,2407.379433333333,203.0678058990244,2199.0,2857.6,2337.0,6.324766666666667,2.9026559673852517,0.0,20.479,7.4670000000000005,9.193733333333332,0.01947916713164417,9.143,9.252,9.192,156.53609333333335,15.3032472447517,140.31,190.17,151.24,105.19984083333334,46.103827922972194,0.0,163.84,125.59,1.681311,0.855180676393715,0.0,10.719,1.937,0.0,0.0,0.0,0.0,0.0,8.524157166666667,0.021156797181597298,8.47,8.584,8.524,8.467388333333334,0.02164723918616326,8.41,8.531,8.467,56.7613,23.44658688998956,0.0,76.635,66.6055,54.45076666666667,0.222665924928572,53.914,54.672,54.5545,58.9406,0.15068838651504868,58.629,59.129,58.961,55.91088333333333,0.06551389855560777,55.828,56.008,55.889,49.692099999999996,0.03737927459825209,49.566,49.762,49.682,0.6573333333333333,0.0418401585806804,0.6,0.75,0.6585000000000001,3,73,1,130,0
261,20.19555,0.25105495549374446,19.825,20.78,20.112000000000002,1.5535333333333334,0.022117917168825135,1.526,1.61,1.545,2407.595933333333,201.7352687308404,2202.0,2855.4,2337.8,6.317628333333333,2.9152038148874677,0.0,20.479,7.4645,9.188836666666667,0.01874537197567474,9.142,9.24,9.187,156.55033666666668,15.285355563494083,140.45,190.06,151.28,105.17870783333333,46.14014352164688,0.0,160.91,125.61,1.6822343333333334,0.8550711369214169,0.0,10.789,1.937,0.0,0.0,0.0,0.0,0.0,8.518696833333333,0.020873760457047072,8.472,8.571,8.519,8.461577333333333,0.021164325510977806,8.41,8.521,8.461,56.63668333333333,23.551195011957315,0.0,76.727,66.61699999999999,54.42568333333334,0.214790831769955,53.934,54.668,54.496,58.93233333333333,0.1476416489246046,58.629,59.141,58.947500000000005,55.94475,0.07215534677206135,55.832,56.098,55.922,49.67565,0.04788185495465471,49.574,49.766,49.684,0.6504666666666666,0.03657148405968341,0.605,0.742,0.6485000000000001,3,73,1,130,0
262,20.095633333333335,0.23705874024739582,19.647,20.546,20.0785,1.5482833333333335,0.019871700060056174,1.507,1.587,1.5459999999999998,2407.4352666666664,202.21554957769814,2201.8,2855.4,2337.6,6.34694,2.9358836183963364,0.0,20.479,7.4645,9.189451666666667,0.019050262940068206,9.132,9.25,9.187,156.53497166666665,15.298389793948195,140.58,190.07,151.25,105.208679,46.092412684860335,0.0,165.66,125.58,1.6818460000000002,0.8613195103060249,0.0,10.781,1.937,0.0,0.0,0.0,0.0,0.0,8.51773,0.02074813680462706,8.464,8.571,8.517,8.460133,0.02105532075482827,8.406,8.517,8.46,57.10966666666666,23.147262817035273,0.0,76.758,66.612,54.418800000000005,0.2552202637935469,53.84,54.672,54.494,58.92105,0.15226976785754012,58.617,59.133,58.9045,55.93743333333334,0.07164421669130508,55.832,56.086,55.914,49.68588333333333,0.0415912685045695,49.578,49.754,49.6855,0.65395,0.036917877255023046,0.589,0.731,0.6565000000000001,3,73,1,130,0
263,19.9867,0.2674210987708263,19.569,20.528,19.9405,1.5408,0.02238477085211503,1.504,1.584,1.536,2403.9932666666664,202.19254560668546,2200.0,2852.6,2335.4,6.361,2.935423505264406,0.0,20.322,7.471,9.19787,0.019011720310955556,9.15,9.261,9.197,156.43022833333333,15.243493240687862,139.69,190.13,151.23,105.40688566666667,45.89932327495082,0.0,164.2,125.58,1.6864263333333336,0.8540775378422385,0.0,10.695,1.937,0.0,0.0,0.0,0.0,0.0,8.521740666666668,0.02091131974404584,8.46,8.578,8.521,8.464351666666667,0.02127074057532987,8.415,8.518,8.464,57.60876666666666,23.054877329762476,0.0,76.525,66.733,54.42963333333333,0.21711857001723558,53.922,54.664,54.488,58.92001666666667,0.1441971921570871,58.625,59.129,58.929500000000004,55.89591666666667,0.05312227394135999,55.809,56.012,55.902,49.679566666666666,0.0517190476227622,49.582,49.766,49.68,0.6592,0.03704911993739659,0.599,0.738,0.6595,3,80,1,130,0
264,19.95495,0.15471147832473053,19.66,20.439,19.927,1.536,0.012796980576073636,1.511,1.568,1.5335,2402.7764,201.17033310155998,2197.8,2853.4,2334.6,6.359023333333334,2.9324500766211408,0.0,20.294,7.462,9.194001666666667,0.01794477701893562,9.143,9.259,9.192,156.41084166666667,15.245535763026307,140.04,190.09,151.25,105.417275,45.86038950560674,0.0,166.14,125.61,1.6854078333333333,0.860266766952953,0.0,11.266,1.937,0.0,0.0,0.0,0.0,0.0,8.523272166666667,0.020873820398652307,8.476,8.573,8.524,8.465658833333334,0.0213759115260893,8.415,8.523,8.465,57.60471666666667,23.053158417450224,0.0,77.022,66.661,54.435066666666664,0.2029575280498089,53.937,54.672,54.49,58.920550000000006,0.1425871633511962,58.617,59.105,58.9375,55.86251666666667,0.03102458930014442,55.816,55.949,55.857,49.668366666666664,0.04598156103050931,49.582,49.754,49.672,0.6637500000000001,0.040546531127097316,0.607,0.761,0.662,3,80,1,130,0
265,20.0436,0.2238225083726752,19.693,20.53,20.022,1.5411166666666667,0.01999160134390896,1.512,1.586,1.5365,2403.2806333333333,201.73824406422779,2198.0,2851.6,2335.6,6.35317,2.915892602139524,0.0,20.178,7.461,9.188369999999999,0.018952883324459477,9.142,9.248,9.187,156.43133666666668,15.244341827039058,139.94,190.12,151.28,105.4234745,45.87558048461245,0.0,165.54,125.61,1.6943973333333333,0.8534257167646351,0.0,10.641,1.945,0.0,0.0,0.0,0.0,0.0,8.516822666666666,0.02113832280489801,8.462,8.569,8.516,8.459970333333333,0.021461855040030117,8.403,8.512,8.459,57.51649999999999,23.04089031317429,0.0,76.758,66.6555,54.41603333333333,0.20039807559097506,53.934,54.664,54.5,58.91526666666667,0.14355308079470483,58.605,59.117,58.923500000000004,55.920683333333336,0.06673105435866473,55.848,56.09,55.902,49.702149999999996,0.052208131388228426,49.574,49.766,49.699,0.6520666666666667,0.04812162087336861,0.562,0.753,0.658,3,80,1,130,0
266,19.9312,0.28689747770216595,19.379,20.334,19.9945,1.5292999999999999,0.024084807786272523,1.489,1.576,1.5314999999999999,2403.8641,201.1225870964369,2200.0,2849.8,2335.8,6.35404,2.909862021363263,0.0,20.294,7.467499999999999,9.192423333333332,0.019565585666155894,9.133,9.243,9.193,156.44602333333333,15.249186930340214,139.84,190.09,151.25,105.40592149999999,45.91284888786758,0.0,164.86,125.62,1.6873778333333334,0.8523712574549851,0.0,10.555,1.937,0.0,0.0,0.0,0.0,0.0,8.522141,0.02112821618720626,8.472,8.583,8.522,8.465121833333333,0.021323260465473105,8.413,8.523,8.465,57.49393333333333,23.054029765664794,0.0,76.617,66.7365,54.42445,0.22717128794765448,53.855,54.668,54.5,58.92155,0.15010701549792507,58.629,59.129,58.947,55.893166666666666,0.09061226142693866,55.738,56.09,55.8985,49.71088333333333,0.06436313600840265,49.566,49.832,49.699,0.6595,0.035841222361116205,0.603,0.75,0.657,3,80,1,130,0
267,20.1087,0.34200858845396354,19.569,20.717,19.9695,1.5476166666666666,0.026202012904087826,1.505,1.601,1.5419999999999998,2404.4701666666665,201.11853345905485,2200.0,2849.6,2336.0,6.361383333333333,2.9399832185344748,0.0,20.479,7.466,9.191411666666665,0.01853225849423103,9.145,9.266,9.189,156.47348833333334,15.252267151380114,140.2,190.34,151.27,105.44291583333333,45.88651936467096,0.0,165.69,125.6,1.6886794999999999,0.8534869530986422,0.0,10.883,1.937,0.0,0.0,0.0,0.0,0.0,8.519421833333334,0.020557001768072812,8.47,8.575,8.519,8.462362500000001,0.020709013439151665,8.415,8.516,8.462,57.627266666666664,23.06052817751555,0.0,76.799,66.642,54.41753333333334,0.22003747497978973,53.922,54.668,54.494,58.92131666666667,0.14036302710661064,58.629,59.117,58.929500000000004,55.88086666666666,0.03803587364075815,55.82,55.93,55.885000000000005,49.63633333333333,0.08055646859668313,49.488,49.754,49.668,0.66205,0.03496701835846686,0.609,0.735,0.664,3,80,1,130,0
268,20.095599999999997,0.3936558421183394,19.345,20.806,20.094,1.5473666666666666,0.03416310164672276,1.481,1.609,1.5430000000000001,2405.0216666666665,201.89632604788483,2201.6,2853.4,2335.8,6.3619650000000005,2.9392679764703584,0.0,20.479,7.469,9.192498333333333,0.020465207183509655,9.141,9.258,9.192,156.4745333333333,15.259434201095996,140.69,190.2,151.25,105.43527516666666,45.90203775673607,0.0,165.19,125.63,1.6827775,0.8500469906470683,0.0,11.078,1.937,0.0,0.0,0.0,0.0,0.0,8.520348833333333,0.020990543484902528,8.46,8.573,8.52,8.462436333333335,0.021434719213309573,8.407,8.517,8.462,57.60453333333333,23.05403152836255,0.0,76.941,66.72,54.4013,0.2272126831623377,53.844,54.668,54.48,58.90553333333333,0.148442360744083,58.613,59.105,58.8985,55.89123333333334,0.105164015026514,55.734,56.09,55.898,49.644866666666665,0.056741300137052204,49.512,49.754,49.658,0.6614166666666667,0.040903065098636275,0.595,0.762,0.664,3,80,1,130,0
269,20.134016666666664,0.275550388616435,19.642,20.694,20.112499999999997,1.5516666666666665,0.024285495892290638,1.509,1.606,1.552,2405.2853333333333,201.42577048396276,2200.0,2853.8,2337.6,6.359045,2.925770502168721,0.0,20.026,7.469,9.19267,0.019007891340757536,9.14,9.262,9.192,156.42911999999998,15.266437400741145,140.34,190.19,151.21,105.37930266666666,45.887044303331265,0.0,160.93,125.57,1.6914596666666666,0.8552901778078581,0.0,11.266,1.945,0.0,0.0,0.0,0.0,0.0,8.523136166666667,0.020956235808832203,8.472,8.578,8.524,8.464985666666665,0.02147749228847405,8.406,8.524,8.465,57.508983333333326,23.015560411763047,0.0,76.632,66.6385,54.42025,0.21949785721513176,53.922,54.664,54.484,58.90808333333334,0.14065516092125768,58.617,59.117,58.9005,55.9045,0.08835435204574218,55.816,56.098,55.879000000000005,49.640766666666664,0.06949487645220756,49.496,49.75,49.668,0.6638333333333333,0.0407431669082991,0.604,0.756,0.664,3,80,1,130,0
270,20.11745,0.29929037116350216,19.652,20.694,19.991500000000002,1.5501166666666668,0.024573715920151357,1.513,1.602,1.5430000000000001,2407.5036999999998,201.70852419873876,2202.0,2861.8,2339.8,6.35994,2.9248479303077812,0.0,20.167,7.468500000000001,9.18986,0.018174090420275218,9.142,9.246,9.189,156.47316333333333,15.266485703143204,140.66,190.18,151.27,105.44792433333333,45.87356334862503,0.0,166.34,125.63,1.6856351666666667,0.8523439963484954,0.0,11.0,1.937,0.0,0.0,0.0,0.0,0.0,8.521418333333333,0.020571562785104327,8.475,8.575,8.521,8.463499500000001,0.020992167863322933,8.413,8.521,8.462,57.46775,23.02149319740437,0.0,76.631,66.727,54.425650000000005,0.20278458345775777,53.926,54.672,54.508,58.8966,0.13962931555627198,58.625,59.078,58.8945,55.91341666666666,0.07232115091767137,55.832,56.086,55.883,49.65478333333333,0.08254492185649276,49.484,49.762,49.68,0.6564333333333334,0.03959813669074003,0.593,0.755,0.6545000000000001,3,80,1,130,0
271,20.034133333333333,0.2833509213550727,19.539,20.666,19.975,1.5413999999999999,0.022894155867412083,1.501,1.592,1.5385,2403.6126,202.47960058405997,2198.0,2853.8,2334.0,6.3613100000000005,2.93092495509307,0.0,20.231,7.468500000000001,9.190199999999999,0.019463934371945525,9.127,9.247,9.187,156.45428166666665,15.25922850582883,140.41,190.2,151.24,105.42991116666666,45.865019701125476,0.0,165.18,125.63,1.686581,0.8535916068067156,0.0,11.023,1.937,0.009819666666666666,0.06966093061464156,0.0,2.468,0.0,8.521333,0.020685883156400846,8.469,8.575,8.521,8.464375333333333,0.021010688543241094,8.411,8.517,8.464,57.622233333333334,23.05219799834285,0.0,76.608,66.723,54.42393333333334,0.2207164656116231,53.926,54.68,54.5,58.90675,0.15781802704703635,58.598,59.121,58.916,55.89811666666667,0.07115823657714099,55.82,56.078,55.873000000000005,49.67731666666667,0.05046209910742594,49.574,49.773,49.68,0.6546833333333333,0.0357185284808342,0.607,0.744,0.6505000000000001,3,80,1,130,0
272,19.992433333333334,0.20085717724223234,19.647,20.541,19.9575,1.5368,0.016533274102317988,1.507,1.586,1.534,2403.9159,201.1292848693652,2199.8,2851.4,2335.6,6.360868333333333,2.939564161588821,0.0,20.479,7.467,9.18802,0.019202451846789183,9.129,9.245,9.187,156.52117666666666,15.243908589126269,141.01,190.15,151.3,105.50351383333333,45.896066352872296,0.0,165.71,125.69,1.6840186666666668,0.8548315209090892,0.0,11.117,1.937,0.0059176666666666666,0.05089408206416287,0.0,1.403,0.0,8.518787333333334,0.020638162753723648,8.46,8.576,8.519,8.461622,0.02084662753652511,8.41,8.517,8.461,57.64625,23.04911907182763,0.0,76.54,66.8265,54.39718333333334,0.20678470681302605,53.922,54.656,54.48,58.91506666666667,0.14025761608574178,58.617,59.086,58.914,55.88641666666667,0.04817668458759741,55.82,56.004,55.871,49.67828333333333,0.04403430545037708,49.566,49.762,49.684,0.6625833333333334,0.03807721489007974,0.605,0.75,0.6585000000000001,3,80,1,130,0
273,20.037216666666666,0.2726042696897975,19.484,20.523,20.061,1.5417166666666666,0.02448734828413847,1.486,1.586,1.5430000000000001,2403.358566666667,200.24368983607127,2198.0,2850.8,2335.8,6.373828333333333,2.9276510875355,0.0,20.378,7.467,9.189176666666667,0.020544234345191724,9.138,9.259,9.189,156.43207,15.211616497308245,139.81,190.26,151.31,105.679239,45.71342864061456,0.0,166.09,125.68,1.6924598333333334,0.8520698581848642,0.0,11.109,1.937,0.0,0.0,0.0,0.0,0.0,8.518961000000001,0.021046685554474188,8.468,8.576,8.519,8.462037666666667,0.02160555594972858,8.406,8.524,8.461,57.967800000000004,23.132964032057682,0.0,76.753,66.842,54.38178333333334,0.20375950360838088,53.926,54.664,54.4585,58.90488333333334,0.13427004053514488,58.625,59.074,58.902,55.90963333333333,0.09329758597103717,55.738,56.086,55.91,49.676966666666665,0.0597452123226647,49.508,49.762,49.68,0.65925,0.04247616480181768,0.591,0.754,0.6575,3,90,1,130,0
274,20.118316666666665,0.21292271946242994,19.761,20.594,20.112000000000002,1.54315,0.01581977415253744,1.517,1.577,1.542,2404.433966666667,199.66599003718395,2201.8,2849.8,2337.4,6.372716666666667,2.9246639405232875,0.0,20.479,7.465,9.196475,0.018499091932775113,9.146,9.254,9.196,156.47305833333334,15.187595616380529,140.56,190.18,151.34,105.72723233333333,45.706951298661224,0.0,165.93,125.7,1.6853828333333334,0.851070958989229,0.0,10.664,1.937,0.0,0.0,0.0,0.0,0.0,8.523292333333334,0.021093775522252427,8.465,8.576,8.523,8.466699,0.021593350314305006,8.411,8.528,8.466,57.9328,23.11331750810577,0.0,76.788,66.85300000000001,54.417950000000005,0.2155199801976784,53.934,54.672,54.486,58.91395,0.14391433716165608,58.617,59.105,58.916,55.856183333333334,0.0315172762237592,55.82,55.926,55.848,49.62728333333333,0.06222133583240031,49.488,49.707,49.613,0.6560166666666666,0.040872887564412444,0.604,0.755,0.644,3,90,1,130,0
